Test Code,QC Code,DATE,17OP,PROG,TESTMS,ANDRO,11DESC,DOC,CORTMS,17PRE,TYR,PHE
CAH6,C-CAH2,10/7/2019,128,155,159,152,145,145,3.06,1020,,
CAH6,C-CAH3,10/7/2019,1220,1550,1630,1500,1360,1420,29.2,10800,,
PATY,C-PATY1,10/10/2019,,,,,,,,,57,48.48910412
PATY,C-PATY2,10/10/2019,,,,,,,,,447,453.6077482
PATY,C-PATY3,10/10/2019,,,,,,,,,1470,1454.673123
CAH6,C-CAH1,10/10/2019,4.15,6.04,7.81,6.31,5.36,5.02,,,,
CAH6,C-CAH2,10/10/2019,130,158,159,155,150,141,2.86,919,,
CAH6,C-CAH3,10/10/2019,1230,1550,1560,1540,1520,1330,28.3,9200,,
PATY,C-PATY1,10/11/2019,,,,,,,,,56.8,48.17627119
PATY,C-PATY2,10/11/2019,,,,,,,,,447,448.1331719
PATY,C-PATY3,10/11/2019,,,,,,,,,1590,1509.418886
PATY,C-PATY1,10/14/2019,,,,,,,,,59.1,49.19297821
PATY,C-PATY2,10/14/2019,,,,,,,,,454,470.031477
PATY,C-PATY3,10/14/2019,,,,,,,,,1480,1439.031477
CAH6,C-CAH1,10/14/2019,4.66,5.58,5.81,7.55,5.95,3.48,,,,
CAH6,C-CAH2,10/14/2019,121,153,165,158,145,150,2.8,972,,
CAH6,C-CAH3,10/14/2019,1300,1650,1770,1650,1610,1550,30.1,11000,,
CAH6,C-CAH1,10/17/2019,4.05,6.34,7.12,7.27,5.89,4.08,,,,
CAH6,C-CAH2,10/17/2019,130,156,165,151,145,147,2.92,1090,,
CAH6,C-CAH3,10/17/2019,1190,1560,1620,1550,1460,1480,28.9,9560,,
CAH6,C-CAH1,10/21/2019,3.44,6.69,7.21,5.25,5.93,5.43,,,,
CAH6,C-CAH2,10/21/2019,111,158,159,155,157,142,3.01,916,,
CAH6,C-CAH3,10/21/2019,1240,1550,1610,1640,1440,1360,28.6,9240,,
CAH6,C-CAH1,10/24/2019,5.09,,,,,,,,,
CAH6,C-CAH1,10/24/2019,5.91,5.25,6.95,5.28,6.26,5.84,,,,
CAH6,C-CAH2,10/24/2019,128,154,170,150,149,147,2.86,1140,,
CAH6,C-CAH3,10/24/2019,1300,1520,1650,1490,1550,1390,27.7,9360,,
CAH6,C-CAH2,10/24/2019,,,,,,,,877,,
CAH6,C-CAH1,10/28/2019,5.13,,,,,,,,,
CAH6,C-CAH1,10/28/2019,5.76,5.59,7.21,6.38,6.04,6.53,,,,
CAH6,C-CAH2,10/28/2019,119,168,168,155,151,146,2.9,878,,
CAH6,C-CAH3,10/28/2019,1150,1610,1690,1620,1620,1440,29,8600,,
CAH6,C-CAH3,10/28/2019,,,,,,,,9330,,
CAH6,C-CAH1,10/31/2019,5.1,6.45,7.06,6.7,4.64,4.95,,,,
CAH6,C-CAH2,10/31/2019,117,156,170,144,141,155,2.74,957,,
CAH6,C-CAH3,10/31/2019,1140,1400,1680,1510,1430,1570,27.6,9520,,
CAH6,C-CAH1,11/1/2019,5.11,5.33,6.72,5.59,6.39,5.75,,,,
CAH6,C-CAH2,11/1/2019,138,152,172,154,151,143,2.92,899,,
CAH6,C-CAH3,11/1/2019,1250,1510,1560,1520,1490,1490,28.3,9270,,
PATY,C-PATY1,11/4/2019,,,,,,,,,56.5,46.06464891
PATY,C-PATY1,11/4/2019,,,,,,,,,57.5,47.15956416
PATY,C-PATY2,11/4/2019,,,,,,,,,418,420.7602906
PATY,C-PATY2,11/4/2019,,,,,,,,,425,437.9661017
PATY,C-PATY3,11/4/2019,,,,,,,,,1380,1345.181598
PATY,C-PATY3,11/4/2019,,,,,,,,,1660,1634.552058
CAH6,C-CAH1,11/4/2019,4.29,6.73,5.91,5.8,4.55,5.26,,,,
CAH6,C-CAH2,11/4/2019,112,159,163,160,161,154,2.93,968,,
CAH6,C-CAH3,11/4/2019,1090,1650,1670,1560,1480,1490,28.5,10600,,
PATY,C-PATY1,11/6/2019,,,,,,,,,58.9,47.94164649
PATY,C-PATY2,11/6/2019,,,,,,,,,414,416.0677966
PATY,C-PATY3,11/6/2019,,,,,,,,,1440,1337.360775
PATY,C-PATY1,11/7/2019,,,,,,,,,66,54.43292978
PATY,C-PATY2,11/7/2019,,,,,,,,,468,459.8644068
PATY,C-PATY2,11/7/2019,,,,,,,,,503,513.8280872
PATY,C-PATY3,11/7/2019,,,,,,,,,1440,1431.210654
PATY,C-PATY3,11/7/2019,,,,,,,,,1490,1423.389831
CAH6,C-CAH1,11/7/2019,4.9,6.66,6.88,5.36,6.33,4.59,,,,
CAH6,C-CAH2,11/7/2019,114,137,143,132,134,130,2.49,880,,
CAH6,C-CAH3,11/7/2019,1240,1570,1600,1510,1440,1410,27.3,8860,,
CAH6,C-CAH2,11/7/2019,,,,,,,2.54,,,
PATY,C-PATY1,11/8/2019,,,,,,,,,56.3,45.67360775
PATY,C-PATY2,11/8/2019,,,,,,,,,469,474.7239709
PATY,C-PATY3,11/8/2019,,,,,,,,,1340,1321.719128
PATY,C-PATY1,11/11/2019,,,,,,,,,60.7,50.20968523
PATY,C-PATY2,11/11/2019,,,,,,,,,435,441.8765133
PATY,C-PATY3,11/11/2019,,,,,,,,,1520,1478.135593
CAH6,C-CAH1,11/11/2019,3.67,6.18,5.96,5.75,5.72,5.79,,,,
CAH6,C-CAH2,11/11/2019,121,155,155,152,145,148,2.78,1020,,
CAH6,C-CAH3,11/11/2019,1190,1540,1620,1590,1480,1440,28.9,9450,,
PATY,C-PATY1,11/12/2019,,,,,,,,,57.6,46.92493947
PATY,C-PATY2,11/12/2019,,,,,,,,,486,487.2372881
PATY,C-PATY3,11/12/2019,,,,,,,,,1540,1517.239709
PATY,C-PATY1,11/13/2019,,,,,,,,,55.2,46.14285714
PATY,C-PATY2,11/13/2019,,,,,,,,,469,477.8523002
PATY,C-PATY3,11/13/2019,,,,,,,,,1440,1368.644068
PATY,C-PATY1,11/14/2019,,,,,,,,,63.4,53.0251816
PATY,C-PATY2,11/14/2019,,,,,,,,,448,452.8256659
PATY,C-PATY3,11/14/2019,,,,,,,,,1490,1439.031477
CAH6,C-CAH1,11/14/2019,3.77,6.18,6.84,6.29,5.96,5.98,,,,
CAH6,C-CAH2,11/14/2019,132,151,160,154,151,151,2.94,970,,
CAH6,C-CAH3,11/14/2019,1250,1450,1540,1510,1340,1470,27.6,8160,,
PATY,C-PATY1,11/15/2019,,,,,,,,,61.1,50.131477
PATY,C-PATY2,11/15/2019,,,,,,,,,477,486.4552058
PATY,C-PATY3,11/15/2019,,,,,,,,,1600,1548.523002
PATY,C-PATY1,11/18/2019,,,,,,,,,57.6,47.47239709
PATY,C-PATY2,11/18/2019,,,,,,,,,469,476.2881356
PATY,C-PATY3,11/18/2019,,,,,,,,,1510,1446.8523
CAH6,C-CAH1,11/18/2019,4.29,6.96,7.13,6.25,4.76,4.99,,,,
CAH6,C-CAH2,11/18/2019,115,139,150,145,135,139,2.575,920,,
CAH6,C-CAH3,11/18/2019,1350,1650,1650,1700,1530,1520,30.8,10400,,
CAH6,C-CAH2,11/18/2019,,,,,146,,,,,
